pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad,pl_rade,pl_name,discoverymethod,y,planet_type
118.2321674,4.0138379,1622.0,6078.0,1.53,14.93036229,HAT-P-58 b,Transit,3,Gas Giant
489.45574678,4.1419771,1277.8,5678.0,1.1038,12.58768533,HAT-P-59 b,Transit,3,Gas Giant
419.5356,3.85298,1675.0,6570.0,1.62,16.58932,HAT-P-6 b,Transit,3,Gas Giant
182.43350562,4.7947813,1772.0,6212.0,2.197,18.28184752,HAT-P-60 b,Transit,3,Gas Giant
335.9446262,1.90231289,1505.0,5587.0,0.938,10.07687365,HAT-P-61 b,Transit,3,Gas Giant
241.86741773,2.6453235,1512.0,5629.0,1.17,12.02723629,HAT-P-62 b,Transit,3,Gas Giant
195.1466419,3.377728,1237.0,5400.0,0.9661,12.5428494,HAT-P-63 b,Transit,3,Gas Giant
184.34047606,4.007232,1766.0,6457.0,1.735,19.08889413,HAT-P-64 b,Transit,3,Gas Giant
176.07693748,2.60544751,1818.0,5872.0,1.666,18.05766791,HAT-P-65 b,Transit,3,Gas Giant
248.86089,2.972086,1896.0,6002.0,1.881,17.82231,HAT-P-66 b,Transit,3,Gas Giant
108.0622,4.8101025,1903.0,6406.0,2.546,23.370765,HAT-P-67 b,Transit,3,Gas Giant
230.10892,2.29840551,1027.8,4508.0,0.6701,12.016048,HAT-P-68 b,Transit,3,Gas Giant
1137.8314,4.7869491,1930.0,7394.0,1.926,18.786284,HAT-P-69 b,Transit,3,Gas Giant
584.8072,2.20474,2733.0,6389.0,2.0,16.92559,HAT-P-7 b,Transit,3,Gas Giant
2154.8874,2.74432452,2562.0,8450.0,1.858,20.96083,HAT-P-70 b,Transit,3,Gas Giant
406.8224,3.07634,1713.0,6200.0,1.57,15.6926,HAT-P-8 b,Transit,3,Gas Giant
238.05467,3.92281072,1540.0,6350.0,1.338,15.614137,HAT-P-9 b,Transit,3,Gas Giant
589.55,3.446459,1359.0,5870.0,1.038,14.594,HATS-1 b,Transit,3,Gas Giant
167.17858,3.312846,1407.0,5880.0,1.105,10.861521,HATS-10 b,Transit,3,Gas Giant
263.7989,3.619188,1596.0,6563.0,1.54,18.03,HATS-11 b,Transit,3,Gas Giant
759.6137,3.142702,1446.0,6357.0,1.17,7.76,HATS-12 b,Transit,3,Gas Giant
172.58169,3.0440499,1244.0,5523.0,0.887,13.585308,HATS-13 b,Transit,3,Gas Giant
340.39593,2.7667641,1276.0,5346.0,0.933,11.646151,HATS-14 b,Transit,3,Gas Giant
689.6911,1.74748753,1505.0,5311.0,0.922,12.385945,HATS-15 b,Transit,3,Gas Giant
1039.3041,2.686502,1592.0,5738.0,1.238,14.5717,HATS-16 b,Transit,3,Gas Giant
